step,train_loss,lr,test_exact_match
250,1.868538239955902,0.0002995753372081722,0.0
500,1.6814893980026244,0.00029696463392633697,0.0
750,1.6459942221641541,0.00029201890380882044,0.0
1000,1.6088446607589721,0.0002848256582759391,0.0
1250,1.5724806022644042,0.0002755121770454111,0.0
1500,1.5585679755210877,0.00026424325600201147,0.0
1750,1.5451366424560546,0.0002512182912434871,0.0
2000,1.5336084394454956,0.000236667750898609,0.0
2250,1.5274196276664733,0.00022084909714620545,0.0
2500,1.5241559510231018,0.00020404223059234975,0.0
2750,1.5169367260932922,0.0001865445376144319,0.0
3000,1.5119758725166321,0.0001686656283060833,0.0
3250,1.501188439846039,0.00015072185813153386,0.0
3500,1.4900038900375365,0.00013303073022510257,0.0
3750,1.4855648064613343,0.0001159052773834253,0.0
4000,1.4753813495635986,9.964852315734848e-05,0.0
4250,1.4577242231369019,8.454812005080093e-05,0.0
4500,1.4412999682426453,7.087125970016519e-05,0.0
4750,1.4322624034881593,5.885994509515459e-05,0.0
5000,1.4226118822097777,4.872670849611821e-05,0.0
5250,1.4163490352630614,4.065085081639222e-05,0.0
5500,1.4051196417808534,3.477526901133681e-05,0.0
5750,1.3991136770248414,3.120392761131023e-05,0.0
6000,1.3915967516899108,3.000001913812931e-05,0.0
